HD000691              , J001122.4+302658 , elodie:20050830/0023 ,   55   
HD000691              , J001122.4+302658 , elodie:20051115/0014 ,   68   
HD000691              , J001122.4+302658 , elodie:20051117/0017 ,   34   
HD000691              , J001122.4+302658 , elodie:20051118/0017 ,   23   
HD000691              , J001122.4+302658 , elodie:20060114/0008 ,   55   
HD000691              , J001122.4+302658 , elodie:20060119/0008 ,   51   
HD000691              , J001122.4+302658 , elodie:20060120/0006 ,   57   
HD000691              , J001122.4+302658 , elodie:20060121/0006 ,   41   
HD000691              , J001122.4+302658 , elodie:20060122/0006 ,   39   
HD000691              , J001122.4+302658 , elodie:20060123/0006 ,   46   
HD000693              , J001121.7-152721 , elodie:19971019/0020 ,  314   
HD000700              , J001124.5+234905 , elodie:20050121/0021 ,   35   
HD000700              , J001124.5+234905 , elodie:20050829/0020 ,   58   
HD000725              , J001144.0+571616 , elodie:19990707/0018 ,   27   
HD000725              , J001144.7+571617 , elodie:20040118/0020 ,  128   
HD000725              , J001145.0+571616 , elodie:19990706/0016 ,   85   
HD000804              , J001228.0+201404 , elodie:19990926/0040 ,   42   
HD000804              , J001228.3+201403 , elodie:20050828/0022 ,   70   
NGC0040               , J001301.0+723120 , elodie:19980306/0015 ,   14   
NGC0040               , J001301.0+723120 , elodie:19980306/0016 ,   11   
J001301.0+723120      , J001301.0+723120 , elodie:19980307/0015 ,   14   
J001301.0+723120      , J001301.0+723120 , elodie:19980307/0016 ,   13   
NGC0040               , J001301.1+723119 , elodie:19980905/0022 ,    1   
HD000842              , J001300.0+555132 , elodie:20001007/0013 ,   96   
HD000842              , J001300.4+555132 , elodie:20001210/0008 ,  124   
HD000849              , J001301.8+495535 , elodie:20041206/0007 ,  137   
HD000849              , J001301.8+495535 , elodie:20041206/0008 ,  143   
HD000861A             , J001312.7+620227 , elodie:19990813/0036 ,  127   
HD000861A             , J001312.7+620227 , elodie:20000720/0025 ,  149   
HD000861A             , J001312.7+620227 , elodie:20000721/0031 ,  149   
HD000861A             , J001312.7+620227 , elodie:20000722/0037 ,  118   
HD000861A             , J001312.7+620227 , elodie:20000724/0032 ,  131   
HD000861A             , J001312.7+620227 , elodie:20000726/0032 ,  144   
HD000861A             , J001312.7+620227 , elodie:20001110/0039 ,  123   
HD000861A             , J001312.7+620227 , elodie:20001114/0024 ,   84   
HD000861A             , J001312.7+620227 , elodie:20010804/0024 ,   65   
HD000861A             , J001312.7+620227 , elodie:20010805/0027 ,  104   
HD000861A             , J001312.7+620227 , elodie:20010806/0030 ,  106   
HD000861A             , J001312.7+620227 , elodie:20010807/0031 ,  132   
HD000886              , J001314.0+151101 , elodie:19981123/0019 ,  476   
HD000886              , J001314.0+151101 , elodie:19981126/0019 ,  430   
